"pid","laddr","raddr","status"
"839","2601:646:847f:faa6:dae:b6a3:f180:4bad@49925","2620:109:c002::6cae:a0a@443","ESTABLISHED"
"839","2601:646:847f:faa6:3558:9f88:fec8:a2@57128","2607:f8b0:4005:807::200e@443","ESTABLISHED"
"839","10.0.0.159@51754","104.16.108.18@443","ESTABLISHED"
"839","2601:646:847f:faa6:3558:9f88:fec8:a2@57053","2607:f8b0:4005:809::2005@443","ESTABLISHED"
"839","2601:646:847f:faa6:3558:9f88:fec8:a2@57029","2607:f8b0:400e:c04::bd@443","ESTABLISHED"
"839","2601:646:847f:faa6:5c45:e57:6a4a:3830@51810","2a03:2880:f022:2:face:b00c::8c@443","ESTABLISHED"
"839","2601:646:847f:faa6:5c45:e57:6a4a:3830@51807","2a03:2880:f022:2:face:b00c::8c@443","ESTABLISHED"
"839","2601:646:847f:faa6:19d9:5ef9:797b:c4c8@59059","2a03:2880:f022:2:face:b00c::8c@443","ESTABLISHED"
"839","2601:646:847f:faa6:19d9:5ef9:797b:c4c8@59063","2a03:2880:f022:2:face:b00c::8c@443","ESTABLISHED"
"839","2601:646:847f:faa6:19d9:5ef9:797b:c4c8@59064","2a03:2880:f022:2:face:b00c::8c@443","ESTABLISHED"
"839","2601:646:847f:faa6:19d9:5ef9:797b:c4c8@59094","2a03:2880:f022:2:face:b00c::8c@443","ESTABLISHED"
"839","2601:646:847f:faa6:19d9:5ef9:797b:c4c8@59096","2a03:2880:f022:2:face:b00c::8c@443","ESTABLISHED"
"839","2601:646:847f:faa6:19d9:5ef9:797b:c4c8@59099","2a03:2880:f022:2:face:b00c::8c@443","ESTABLISHED"
"59144","10.0.0.159@56791","50.19.201.48@443","ESTABLISHED"
"59144","10.0.0.159@56791","50.19.201.48@443","ESTABLISHED"
"59144","10.0.0.159@56793","52.205.45.52@443","ESTABLISHED"
"59144","10.0.0.159@56793","52.205.45.52@443","ESTABLISHED"
"56274","2601:646:847f:faa6:3558:9f88:fec8:a2@56785","2607:f8b0:400e:c02::6d@993","ESTABLISHED"
"56274","2601:646:847f:faa6:3558:9f88:fec8:a2@56787","2607:f8b0:400e:c02::6d@993","ESTABLISHED"
"56274","2601:646:847f:faa6:3558:9f88:fec8:a2@56785","2607:f8b0:400e:c02::6d@993","ESTABLISHED"
"56274","2601:646:847f:faa6:3558:9f88:fec8:a2@56787","2607:f8b0:400e:c02::6d@993","ESTABLISHED"
"306","fe80:b::20ae:1f8e:eb00:3520@1024","fe80:b::1e73:b9b8:353d:f477@1024","ESTABLISHED"
"306","fe80:b::20ae:1f8e:eb00:3520@1024","fe80:b::1e73:b9b8:353d:f477@1024","ESTABLISHED"
"306","fe80:b::20ae:1f8e:eb00:3520@4633","fe80:b::1e73:b9b8:353d:f477@1025","ESTABLISHED"
"306","fe80:b::20ae:1f8e:eb00:3520@4633","fe80:b::1e73:b9b8:353d:f477@1025","ESTABLISHED"
"87","10.0.0.159@56707","17.249.28.13@5223","ESTABLISHED"
"87","10.0.0.159@56707","17.249.28.13@5223","ESTABLISHED"
"87","10.0.0.159@56755","17.188.166.20@5223","ESTABLISHED"
"87","10.0.0.159@56755","17.188.166.20@5223","ESTABLISHED"
"58925","10.0.0.159@56789","192.30.253.125@443","ESTABLISHED"
"58925","10.0.0.159@56789","192.30.253.125@443","ESTABLISHED"
"41627","2601:646:847f:faa6:3558:9f88:fec8:a2@56769","2607:f8b0:400e:c05::bc@5228","ESTABLISHED"
"41627","2601:646:847f:faa6:3558:9f88:fec8:a2@57126","2607:f8b0:4005:807::200e@443","ESTABLISHED"
"299","10.250.151.249@54988","31.13.77.6@443","ESTABLISHED"
"299","172.16.101.123@55509","157.240.11.17@443","ESTABLISHED"
"51789","::10.250.151.249@55647","::198.41.30.197@80","CLOSE_WAIT"
